PeakID,Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
chr1-201,chr1,161842587,161842760,+,1,NA,"intron (NM_007348: intron 14 of 15)","intron (NM_007348: intron 14 of 15)",106640,NM_007348,22926,Hs.617868,NM_007348,ENSG00000118217,ATF6,ATF6A,activating transcription factor 6,protein-coding
chr4-1356,chr4,90858449,90858622,+,1,NA,"intron (NM_007351: intron 6 of 7)","intron (NM_007351: intron 6 of 7)",42484,NM_007351,22915,Hs.268107,XM_005262856,ENSG00000138722,MMRN1,ECM|EMILIN4|GPIa*|MMRN,multimerin 1,protein-coding
chr14-2249,chr14,52488826,52488999,+,1,NA,"intron (NM_007361: intron 12 of 21)","intron (NM_007361: intron 12 of 21)",32685,NM_016039,51637,Hs.534457,NM_016039,ENSG00000087302,C14orf166,CGI99|CLE|CLE7|LCRP369|RLLM1,chromosome 14 open reading frame 166,protein-coding
chr10-38,chr10,112689784,112689957,+,1,NA,"intron (NM_007373: intron 1 of 8)","intron (NM_007373: intron 1 of 8)",7142,NR_026715,644511,Hs.632083,NR_026715,ENSG00000234118,RPL13AP6,RPL13A_7_1096|bA348N5.5,ribosomal protein L13a pseudogene 6,pseudo
chr5-62,chr5,95255556,95255729,+,1,NA,"intron (NM_012081: intron 2 of 11)","intron (NM_012081: intron 2 of 11)",42132,NM_012081,22936,Hs.708710,XM_005271926,ENSG00000118985,ELL2,-,"elongation factor: RNA polymerase II: 2",protein-coding
chr5-1014,chr5,95236157,95236330,+,1,NA,"intron (NM_012081: intron 7 of 11)",MIR3|SINE|MIR,48308,NR_026936,202299,Hs.8373,NM_175616,ENSG00000236882,C5orf27,FIS,chromosome 5 open reading frame 27,ncRNA
chr8-324,chr8,106596799,106596972,+,1,NA,"intron (NM_012082: intron 4 of 7)","intron (NM_012082: intron 4 of 7)",265739,NM_012082,23414,Hs.431009,XM_005250850,ENSG00000169946,ZFPM2,DIH3|FOG2|ZC2HC11B|ZNF89B|hFOG-2,"zinc finger protein: FOG family member 2",protein-coding
chr8-772,chr8,106677770,106677943,+,1,NA,"intron (NM_012082: intron 5 of 7)","intron (NM_012082: intron 5 of 7)",346710,NM_012082,23414,Hs.431009,XM_005250850,ENSG00000169946,ZFPM2,DIH3|FOG2|ZC2HC11B|ZNF89B|hFOG-2,"zinc finger protein: FOG family member 2",protein-coding
chr2-8708,chr2,197642623,197642796,+,1,NA,"intron (NM_012086: intron 10 of 17)","intron (NM_012086: intron 10 of 17)",21782,NM_001206774,9330,Hs.737375,XM_005246965,ENSG00000119041,GTF3C3,TFIIIC102|TFIIICgamma|TFiiiC2-102,"general transcription factor IIIC: polypeptide 3: 102kDa",protein-coding
chr1-741,chr1,77976773,77976946,+,1,NA,"intron (NM_012093: intron 10 of 13)","intron (NM_012093: intron 10 of 13)",171483,NM_015534,26009,Hs.480506,XM_005270725,ENSG00000036549,ZZZ3,ATAC1,"zinc finger: ZZ-type containing 3",protein-coding
chr1-4271,chr1,78010794,78010967,+,1,NA,"intron (NM_012093: intron 13 of 13)",CT-rich|Low_complexity|Low_complexity,137462,NM_015534,26009,Hs.480506,XM_005270725,ENSG00000036549,ZZZ3,ATAC1,"zinc finger: ZZ-type containing 3",protein-coding
chr4-1093,chr4,54904844,54905017,+,1,NA,"intron (NM_012110: intron 3 of 5)",FLAM_C|SINE|Alu,25884,NM_012110,26511,Hs.335393,XM_005265738,ENSG00000109220,CHIC2,BTL,cysteine-rich hydrophobic domain 2,protein-coding
chr4-1092,chr4,54901681,54901854,+,1,NA,"intron (NM_012110: intron 3 of 5)",L1M5|LINE|L1,29047,NM_012110,26511,Hs.335393,XM_005265738,ENSG00000109220,CHIC2,BTL,cysteine-rich hydrophobic domain 2,protein-coding
chr6-49,chr6,47451385,47451558,+,1,NA,"intron (NM_012120: intron 1 of 17)","intron (NM_012120: intron 1 of 17)",5947,NM_012120,23607,Hs.485518,XM_005248976,ENSG00000198087,CD2AP,CMS,CD2-associated protein,protein-coding
chr6-3924,chr6,47591730,47591903,+,1,NA,"intron (NM_012120: intron 17 of 17)","intron (NM_012120: intron 17 of 17)",-32509,NM_153839,222611,Hs.724860,XM_005248939,ENSG00000164393,GPR111,PGR20|hGPCR35,G protein-coupled receptor 111,protein-coding
chr6-1611,chr6,47480524,47480697,+,1,NA,"intron (NM_012120: intron 2 of 17)","intron (NM_012120: intron 2 of 17)",35086,NM_012120,23607,Hs.485518,XM_005248976,ENSG00000198087,CD2AP,CMS,CD2-associated protein,protein-coding
chr3-4237,chr3,33369992,33370165,+,1,NA,"intron (NM_012157: intron 2 of 14)",L1MA4|LINE|L1,51142,NM_001171713,25827,Hs.475872,XM_005265014,ENSG00000153558,FBXL2,FBL2|FBL3,F-box and leucine-rich repeat protein 2,protein-coding
chr13-138,chr13,77593164,77593337,+,1,NA,"intron (NM_012158: intron 2 of 4)","intron (NM_012158: intron 2 of 4)",8080,NM_012158,26224,Hs.508284,XM_005266335,ENSG00000005812,FBXL3,FBL3|FBL3A|FBXL3A,F-box and leucine-rich repeat protein 3,protein-coding
chr4-844,chr4,175196441,175196614,+,1,NA,"intron (NM_012180: intron 1 of 5)",L1MD2|LINE|L1,-8300,NM_001040157,80817,Hs.555989,XM_005263249,ENSG00000164118,CEP44,KIAA1712|PS1TP3,centrosomal protein 44kDa,protein-coding
chr11-1108,chr11,33626278,33626451,+,1,NA,"intron (NM_012194: intron 12 of 19)",L1PB2|LINE|L1,62488,NM_012194,25758,Hs.502266,XM_005252847,ENSG00000110427,KIAA1549L,C11orf41|C11orf69|G2,KIAA1549-like,protein-coding
chr11-2545,chr11,33653776,33653949,+,1,NA,"intron (NM_012194: intron 15 of 19)",MLT1K|LTR|ERVL-MaLR,68423,NM_001166692,100131378,Hs.709466,NM_001166692,,C11orf91,-,chromosome 11 open reading frame 91,protein-coding
chr2-2573,chr2,99242659,99242832,+,1,NA,"intron (NM_012214: intron 14 of 15)","intron (NM_012214: intron 14 of 15)",17704,NM_014044,25972,Hs.13370,XM_005263913,ENSG00000115446,UNC50,GMH1|UNCL|URP,unc-50 homolog (C. elegans),protein-coding
chr10-1541,chr10,104855652,104855825,+,1,NA,"intron (NM_012229: intron 11 of 18)","intron (NM_012229: intron 11 of 18)",97324,NM_001134373,22978,Hs.97439,XM_005269632,ENSG00000076685,NT5C2,GMP|NT5B|PNT5|cN-II,"5'-nucleotidase: cytosolic II",protein-coding
chr10-140,chr10,104872756,104872929,+,1,NA,"intron (NM_012229: intron 4 of 18)","intron (NM_012229: intron 4 of 18)",80220,NM_001134373,22978,Hs.97439,XM_005269632,ENSG00000076685,NT5C2,GMP|NT5B|PNT5|cN-II,"5'-nucleotidase: cytosolic II",protein-coding
chr1-1378,chr1,14041343,14041516,+,1,NA,"intron (NM_012231: intron 1 of 9)","intron (NM_012231: intron 1 of 9)",10080,NM_015866,7799,Hs.371823,XM_005245992,ENSG00000116731,PRDM2,HUMHOXY1|KMT8|MTB-ZF|RIZ|RIZ1|RIZ2,"PR domain containing 2: with ZNF domain",protein-coding
chr3-90,chr3,72440863,72441036,+,1,NA,"intron (NM_012234: intron 1 of 3)","intron (NM_012234: intron 1 of 3)",54824,NM_012234,23429,Hs.7910,NM_012234,,RYBP,AAP1|DEDAF|YEAF1,RING1 and YY1 binding protein,protein-coding
chr1-3487,chr1,41680746,41680919,+,1,NA,"intron (NM_012236: intron 1 of 14)",MIRb|SINE|MIR,26982,NM_001172218,22955,Hs.571874,XM_005270637,ENSG00000010803,SCMH1,Scml3,sex comb on midleg homolog 1 (Drosophila),protein-coding
chr14-2673,chr14,78223821,78223994,+,1,NA,"intron (NM_012245: intron 1 of 13)",L2c|LINE|L2,-3265,NM_174943,283579,Hs.375834,NM_001173978,ENSG00000197734,C14orf178,-,chromosome 14 open reading frame 178,protein-coding
chr7-2041,chr7,106813383,106813556,+,1,NA,"intron (NM_012257: intron 1 of 10)","intron (NM_012257: intron 1 of 10)",4010,NM_012257,26959,Hs.162032,XM_005250266,ENSG00000105856,HBP1,-,HMG-box transcription factor 1,protein-coding
chr1-154,chr1,87472925,87473098,+,1,NA,"intron (NM_012262: intron 1 of 6)","intron (NM_012262: intron 1 of 6)",92677,NM_012262,9653,Hs.743280,XM_005271353,ENSG00000153936,HS2ST1,dJ604K5.2,heparan sulfate 2-O-sulfotransferase 1,protein-coding
chr1-1913,chr1,87527528,87527701,+,1,NA,"intron (NM_012262: intron 1 of 6)",L1MB5|LINE|L1,-67833,NR_026989,339524,Hs.306423,NM_207357,ENSG00000267272,LINC01140,RP5-1052I5.1,long intergenic non-protein coding RNA 1140,ncRNA
chr7-70,chr7,120240072,120240245,+,1,NA,"intron (NM_012281: intron 1 of 5)","intron (NM_012281: intron 1 of 5)",258018,NM_012338,23554,Hs.16529,XM_005250239,ENSG00000106025,TSPAN12,EVR5|NET-2|NET2|TM4SF12,tetraspanin 12,protein-coding
chr7-959,chr7,120307322,120307495,+,1,NA,"intron (NM_012281: intron 1 of 5)",Charlie4z|DNA|hAT-Charlie,190768,NM_012338,23554,Hs.16529,XM_005250239,ENSG00000106025,TSPAN12,EVR5|NET-2|NET2|TM4SF12,tetraspanin 12,protein-coding
chr7-5354,chr7,120286785,120286958,+,1,NA,"intron (NM_012281: intron 1 of 5)","intron (NM_012281: intron 1 of 5)",211305,NM_012338,23554,Hs.16529,XM_005250239,ENSG00000106025,TSPAN12,EVR5|NET-2|NET2|TM4SF12,tetraspanin 12,protein-coding
chr7-2268,chr7,120211391,120211564,+,1,NA,"intron (NM_012281: intron 1 of 5)","intron (NM_012281: intron 1 of 5)",286699,NM_012338,23554,Hs.16529,XM_005250239,ENSG00000106025,TSPAN12,EVR5|NET-2|NET2|TM4SF12,tetraspanin 12,protein-coding
chr7-560,chr7,22227727,22227900,+,1,NA,"intron (NM_012294: intron 11 of 25)","intron (NM_012294: intron 11 of 25)",168719,NM_012294,9771,Hs.713217,XM_005249914,ENSG00000136237,RAPGEF5,GFR|MR-GEF|REPAC,Rap guanine nucleotide exchange factor (GEF) 5,protein-coding
chr7-682,chr7,78809527,78809700,+,1,NA,"intron (NM_012301: intron 1 of 21)",THE1B|LTR|ERVL-MaLR,171310,NR_046689,100874021,Hs.128252,NR_046689,ENSG00000226978,MAGI2-AS2,AC006324.1,MAGI2 antisense RNA 2,ncRNA
chr7-25,chr7,78999276,78999449,+,1,NA,"intron (NM_012301: intron 1 of 21)","intron (NM_012301: intron 1 of 21)",-82910,NR_038346,100505881,Hs.31474,NR_038343,ENSG00000234456,MAGI2-AS3,-,MAGI2 antisense RNA 3,ncRNA
chr7-670,chr7,77829905,77830078,+,1,NA,"intron (NM_012301: intron 11 of 21)","intron (NM_012301: intron 11 of 21)",-146567,NR_003680,399670,Hs.568045,NR_003680,ENSG00000231322,RPL13AP17,RPL13A_6_816,ribosomal protein L13a pseudogene 17,pseudo
chr7-677,chr7,78315569,78315742,+,1,NA,"intron (NM_012301: intron 2 of 21)","intron (NM_012301: intron 2 of 21)",-321613,NR_049853,100847045,,NR_049853,,MIR548AU,-,microRNA 548au,ncRNA
chr7-1632,chr7,78171890,78172063,+,1,NA,"intron (NM_012301: intron 3 of 21)",L2c|LINE|L2,-177934,NR_049853,100847045,,NR_049853,,MIR548AU,-,microRNA 548au,ncRNA
chr1-146,chr1,82286036,82286209,+,1,NA,"intron (NM_012302: intron 1 of 19)","intron (NM_012302: intron 1 of 19)",20041,NM_012302,23266,Hs.649282,XM_005270666,ENSG00000117114,LPHN2,CIRL2|CL2|LEC1|LPHH1,latrophilin 2,protein-coding
chr1-72,chr1,82341989,82342162,+,1,NA,"intron (NM_012302: intron 2 of 19)","intron (NM_012302: intron 2 of 19)",75994,NM_012302,23266,Hs.649282,XM_005270666,ENSG00000117114,LPHN2,CIRL2|CL2|LEC1|LPHH1,latrophilin 2,protein-coding
chr18-1416,chr18,5419300,5419473,+,1,NA,"intron (NM_012307: intron 12 of 22)","intron (NM_012307: intron 12 of 22)",121168,NM_001281533,23136,Hs.213394,XM_005258084,ENSG00000082397,EPB41L3,4.1B|DAL-1|DAL1,erythrocyte membrane protein band 4.1-like 3,protein-coding
chr18-570,chr18,5416937,5417110,+,1,NA,"intron (NM_012307: intron 12 of 22)","intron (NM_012307: intron 12 of 22)",-119972,NM_001243704,7541,Hs.592340,XM_005258141,ENSG00000198081,ZBTB14,ZF5|ZFP-161|ZFP-5|ZFP161|ZNF478,zinc finger and BTB domain containing 14,protein-coding
chr5-3723,chr5,16903599,16903772,+,1,NA,"intron (NM_012334: intron 1 of 40)",MIRb|SINE|MIR,32699,NM_012334,4651,Hs.481720,XM_005248306,ENSG00000145555,MYO10,-,myosin X,protein-coding
chr5-3722,chr5,16742387,16742560,+,1,NA,"intron (NM_012334: intron 19 of 40)","intron (NM_012334: intron 19 of 40)",-125307,NM_001034850,54463,Hs.481704,XM_005248312,ENSG00000154153,FAM134B,JK-1|JK1,"family with sequence similarity 134: member B",protein-coding
chr7-392,chr7,120490473,120490646,+,1,NA,"intron (NM_012338: intron 2 of 7)","intron (NM_012338: intron 2 of 7)",7617,NM_012338,23554,Hs.16529,XM_005250239,ENSG00000106025,TSPAN12,EVR5|NET-2|NET2|TM4SF12,tetraspanin 12,protein-coding
chr7-391,chr7,120463109,120463282,+,1,NA,"intron (NM_012338: intron 4 of 7)",HAL1|LINE|L1,34981,NM_012338,23554,Hs.16529,XM_005250239,ENSG00000106025,TSPAN12,EVR5|NET-2|NET2|TM4SF12,tetraspanin 12,protein-coding
chr10-2975,chr10,71235884,71236057,+,1,NA,"intron (NM_012339: intron 1 of 7)",L1M5|LINE|L1,24745,NM_012339,23555,Hs.499941,XM_005269665,ENSG00000099282,TSPAN15,2700063A19Rik|NET-7|NET7|TM4SF15,tetraspanin 15,protein-coding
chr12-2109,chr12,108142743,108142916,+,1,NA,"intron (NM_012406: intron 5 of 11)","intron (NM_012406: intron 5 of 11)",12084,NM_012406,11108,Hs.506655,XM_005268593,ENSG00000110851,PRDM4,PFM1,PR domain containing 4,protein-coding
chr1-7175,chr1,220414763,220414936,+,1,NA,"intron (NM_012414: intron 1 of 34)","intron (NM_012414: intron 1 of 34)",26207,NR_001587,6791,Hs.744357,NR_001587,,AURKAPS1,AurAps1|STK6P,aurora kinase A pseudogene 1,pseudo
chr1-1302,chr1,220400029,220400202,+,1,NA,"intron (NM_012414: intron 2 of 34)",MLT1B|LTR|ERVL-MaLR,-26098,NR_002994,677818,Hs.730572,NR_002994,,SNORA36B,ACA36b,"small nucleolar RNA: H/ACA box 36B",snoRNA
chr8-723,chr8,95424080,95424253,+,1,NA,"intron (NM_012415: intron 3 of 14)",L1MA8|LINE|L1,25013,NM_001205263,25788,Hs.744229,NM_001205262,ENSG00000197275,RAD54B,RDH54,RAD54 homolog B (S. cerevisiae),protein-coding
chr1-3478,chr1,40666191,40666364,+,1,NA,"intron (NM_012421: intron 4 of 7)","intron (NM_012421: intron 4 of 7)",39237,NM_012421,6018,Hs.205627,NM_012421,ENSG00000117000,RLF,ZN-15L|ZNF292L,rearranged L-myc fusion,protein-coding
chr10-1898,chr10,16795876,16796049,+,1,NA,"intron (NM_012425: intron 5 of 8)",AluJr4|SINE|Alu,63490,NM_152724,6251,Hs.524161,XM_005252552,ENSG00000148484,RSU1,RSP-1,Ras suppressor protein 1,protein-coding
chr10-801,chr10,16686562,16686735,+,1,NA,"intron (NM_012425: intron 8 of 8)","intron (NM_012425: intron 8 of 8)",-122645,NM_001010908,389941,Hs.745101,NM_001010908,ENSG00000165985,C1QL3,C1QTNF13|C1ql|CTRP13|K100,"complement component 1: q subcomponent-like 3",protein-coding
chr3-2762,chr3,122960185,122960358,+,1,NA,"intron (NM_012430: intron 4 of 6)","intron (NM_012430: intron 4 of 6)",39498,NM_012430,26984,Hs.477361,NM_012430,,SEC22A,SEC22L2,SEC22 vesicle trafficking protein homolog A (S. cerevisiae),protein-coding
chr3-6502,chr3,122982021,122982194,+,1,NA,"intron (NM_012430: intron 6 of 6)",MLT1A|LTR|ERVL-MaLR,61334,NM_012430,26984,Hs.477361,NM_012430,,SEC22A,SEC22L2,SEC22 vesicle trafficking protein homolog A (S. cerevisiae),protein-coding
chr7-1784,chr7,83201159,83201332,+,1,NA,"intron (NM_012431: intron 1 of 16)",L1P4a|LINE|L1,45491,NR_107016,102465857,,NR_107016,,MIR7976,hsa-mir-7976,microRNA mir-7976,ncRNA
chr7-729,chr7,83167773,83167946,+,1,NA,"intron (NM_012431: intron 1 of 16)","intron (NM_012431: intron 1 of 16)",78877,NR_107016,102465857,,NR_107016,,MIR7976,hsa-mir-7976,microRNA mir-7976,ncRNA
chr6-4714,chr6,74330199,74330372,+,1,NA,"intron (NM_012434: intron 7 of 10)","intron (NM_012434: intron 7 of 10)",33451,NM_012434,26503,Hs.597422,XM_005248710,ENSG00000119899,SLC17A5,AST|ISSD|NSD|SD|SIALIN|SIASD|SLD,"solute carrier family 17 (acidic sugar transporter): member 5",protein-coding
chr6-7308,chr6,155518937,155519110,+,1,NA,"intron (NM_012454: intron 13 of 25)",THE1C|LTR|ERVL-MaLR,-19073,NM_001010927,26230,Hs.586279,XM_005266927,ENSG00000146426,TIAM2,STEF|TIAM-2,T-cell lymphoma invasion and metastasis 2,protein-coding
chr7-1012,chr7,128658276,128658449,+,1,NA,"intron (NM_012470: intron 1 of 22)","intron (NM_012470: intron 1 of 22)",36864,NM_012470,23534,Hs.193613,NM_001191028,ENSG00000064419,TNPO3,IPO12|MTR10A|TRN-SR|TRN-SR2|TRNSR,transportin 3,protein-coding
chr7-1013,chr7,128663181,128663354,+,1,NA,"intron (NM_012470: intron 1 of 22)",L1MC5|LINE|L1,31959,NM_012470,23534,Hs.193613,NM_001191028,ENSG00000064419,TNPO3,IPO12|MTR10A|TRN-SR|TRN-SR2|TRNSR,transportin 3,protein-coding
chr5-1391,chr5,162912158,162912331,+,1,NA,"intron (NM_012484: intron 16 of 17)",5S|rRNA|rRNA,8819,NR_109892,101927813,Hs.726818,XR_245285,,RP11-80G7.1,-,uncharacterized LOC101927813,ncRNA
chr2-530,chr2,169100449,169100622,+,1,NA,"intron (NM_013233: intron 1 of 17)","intron (NM_013233: intron 1 of 17)",3569,NM_013233,27347,Hs.276271,XM_005246465,ENSG00000198648,STK39,DCHT|PASK|SPAK,serine threonine kinase 39,protein-coding
chr2-529,chr2,169100075,169100248,+,1,NA,"intron (NM_013233: intron 1 of 17)","intron (NM_013233: intron 1 of 17)",3943,NM_013233,27347,Hs.276271,XM_005246465,ENSG00000198648,STK39,DCHT|PASK|SPAK,serine threonine kinase 39,protein-coding
chr22-205,chr22,46217560,46217733,+,1,NA,"intron (NM_013236: intron 10 of 11)","intron (NM_013236: intron 10 of 11)",61243,NR_039919,100616253,,NR_039919,,MIR4762,-,microRNA 4762,ncRNA
chr22-204,chr22,46198352,46198525,+,1,NA,"intron (NM_013236: intron 9 of 11)","intron (NM_013236: intron 9 of 11)",42035,NR_039919,100616253,,NR_039919,,MIR4762,-,microRNA 4762,ncRNA
chr15-584,chr15,52006268,52006441,+,1,NA,"intron (NM_013243: intron 11 of 11)","intron (NM_013243: intron 11 of 11)",23965,NM_153374,256586,Hs.603629,NM_001143917,ENSG00000140280,LYSMD2,-,"LysM: putative peptidoglycan-binding: domain containing 2",protein-coding
chr12-7,chr12,86874212,86874385,+,1,NA,"intron (NM_013244: intron 1 of 6)",(TA)n|Simple_repeat|Simple_repeat,72430,NR_039710,100616215,,NR_039710,ENSG00000264402,MIR548AL,-,microRNA 548al,ncRNA
chr12-1849,chr12,86896306,86896479,+,1,NA,"intron (NM_013244: intron 1 of 6)",(TA)n|Simple_repeat|Simple_repeat,50336,NR_039710,100616215,,NR_039710,ENSG00000264402,MIR548AL,-,microRNA 548al,ncRNA
chr12-5,chr12,86770537,86770710,+,1,NA,"intron (NM_013244: intron 2 of 6)",(GA)n|Simple_repeat|Simple_repeat,176105,NR_039710,100616215,,NR_039710,ENSG00000264402,MIR548AL,-,microRNA 548al,ncRNA
chr12-114,chr12,86722276,86722449,+,1,NA,"intron (NM_013244: intron 3 of 6)",L1M5|LINE|L1,224366,NR_039710,100616215,,NR_039710,ENSG00000264402,MIR548AL,-,microRNA 548al,ncRNA
chr12-4251,chr12,86410831,86411004,+,1,NA,"intron (NM_013244: intron 4 of 6)","intron (NM_013244: intron 4 of 6)",142845,NM_006183,4922,Hs.80962,NM_006183,ENSG00000133636,NTS,NMN-125|NN|NT|NT/N|NTS1,neurotensin,protein-coding
chr7-1044,chr7,141638937,141639110,+,1,NA,"intron (NM_013252: intron 4 of 6)",L1MA3|LINE|L1,7759,NM_013252,23601,Hs.446235,XM_005249965,ENSG00000258227,CLEC5A,CLECSF5|MDL-1|MDL1,"C-type lectin domain family 5: member A",protein-coding
chr10-247,chr10,69421797,69421970,+,1,NA,"intron (NM_013266: intron 1 of 17)",MER44A|DNA|TcMar-Tigger,3532,NM_001127384,29119,Hs.660362,XM_005269717,ENSG00000183230,CTNNA3,VR22,"catenin (cadherin-associated protein): alpha 3",protein-coding
chr15-86,chr15,45796742,45796915,+,1,NA,"intron (NM_013309: intron 3 of 7)","intron (NM_013309: intron 3 of 7)",-6505,NR_022014,283651,Hs.574240,NM_001005266,,HMGN2P46,C15orf21|D-PCa-2,high mobility group nucleosomal binding domain 2 pseudogene 46,pseudo
chr9-3566,chr9,134341505,134341678,+,1,NA,"intron (NM_013318: intron 11 of 30)","intron (NM_013318: intron 11 of 30)",-19460,NR_002914,26786,,NR_002914,,SNORD62A,RNU62|U62|U62A,"small nucleolar RNA: C/D box 62A",snoRNA
chr12-2087,chr12,104464944,104465117,+,1,NA,"intron (NM_013320: intron 3 of 14)","intron (NM_013320: intron 3 of 14)",6795,NM_013320,29915,Hs.506558,XM_005268817,,HCFC2,HCF-2|HCF2,host cell factor C2,protein-coding
chr2-542,chr2,175062376,175062549,+,1,NA,"intron (NM_013341: intron 4 of 10)","intron (NM_013341: intron 4 of 10)",50902,NM_001011708,29789,Hs.157351,XM_005246481,ENSG00000138430,OLA1,DOC45|GBP45|GTBP9|GTPBP9,Obg-like ATPase 1,protein-coding
chr2-1377,chr2,175073744,175073917,+,1,NA,"intron (NM_013341: intron 4 of 10)",FLAM_A|SINE|Alu,39534,NM_001011708,29789,Hs.157351,XM_005246481,ENSG00000138430,OLA1,DOC45|GBP45|GTBP9|GTPBP9,Obg-like ATPase 1,protein-coding
chr12-484,chr12,41842896,41843069,+,1,NA,"intron (NM_013377: intron 1 of 7)",L2c|LINE|L2,11442,NM_013377,29951,Hs.380044,XM_005268818,ENSG00000165966,PDZRN4,LNX4|SAMCAP3L,PDZ domain containing ring finger 4,protein-coding
chr12-235,chr12,72680936,72681109,+,1,NA,"intron (NM_013381: intron 2 of 18)","intron (NM_013381: intron 2 of 18)",-13734,NR_026836,283392,Hs.363603,NR_026836,ENSG00000236333,TRHDE-AS1,-,TRHDE antisense RNA 1,ncRNA
chr12-599,chr12,72710784,72710957,+,1,NA,"intron (NM_013381: intron 2 of 18)",MIRb|SINE|MIR,-43582,NR_026836,283392,Hs.363603,NR_026836,ENSG00000236333,TRHDE-AS1,-,TRHDE antisense RNA 1,ncRNA
chr12-1497,chr12,72794100,72794273,+,1,NA,"intron (NM_013381: intron 3 of 18)","intron (NM_013381: intron 3 of 18)",-126898,NR_026836,283392,Hs.363603,NR_026836,ENSG00000236333,TRHDE-AS1,-,TRHDE antisense RNA 1,ncRNA
chr12-1499,chr12,72816778,72816951,+,1,NA,"intron (NM_013381: intron 3 of 18)","intron (NM_013381: intron 3 of 18)",-149576,NR_026836,283392,Hs.363603,NR_026836,ENSG00000236333,TRHDE-AS1,-,TRHDE antisense RNA 1,ncRNA
chr12-3607,chr12,72844257,72844430,+,1,NA,"intron (NM_013381: intron 3 of 18)",L1MA8|LINE|L1,-177055,NR_026836,283392,Hs.363603,NR_026836,ENSG00000236333,TRHDE-AS1,-,TRHDE antisense RNA 1,ncRNA
chr6-1574,chr6,41749402,41749575,+,1,NA,"intron (NM_013397: intron 2 of 7)","intron (NM_013397: intron 2 of 7)",989,NM_013397,29964,Hs.715653,NM_013397,ENSG00000124593,PRICKLE4,C6orf49|OBTP|OEBT|TOMM6,prickle homolog 4 (Drosophila),protein-coding
chr2-1282,chr2,160387817,160387990,+,1,NA,"intron (NM_013450: intron 2 of 36)","intron (NM_013450: intron 2 of 36)",85155,NM_013450,29994,Hs.470369,XM_005246488,ENSG00000123636,BAZ2B,WALp4,"bromodomain adjacent to zinc finger domain: 2B",protein-coding
chr2-489,chr2,160350149,160350322,+,1,NA,"intron (NM_013450: intron 2 of 36)","intron (NM_013450: intron 2 of 36)",122823,NM_013450,29994,Hs.470369,XM_005246488,ENSG00000123636,BAZ2B,WALp4,"bromodomain adjacent to zinc finger domain: 2B",protein-coding
chr2-491,chr2,160372416,160372589,+,1,NA,"intron (NM_013450: intron 2 of 36)","intron (NM_013450: intron 2 of 36)",100556,NM_013450,29994,Hs.470369,XM_005246488,ENSG00000123636,BAZ2B,WALp4,"bromodomain adjacent to zinc finger domain: 2B",protein-coding
chr2-486,chr2,160232174,160232347,+,1,NA,"intron (NM_013450: intron 25 of 36)","intron (NM_013450: intron 25 of 36)",-89025,NM_001128212,151525,Hs.20848,XM_005246355,ENSG00000196151,WDSUB1,UBOX6|WDSAM1,"WD repeat: sterile alpha motif and U-box domain containing 1",protein-coding
chr1-1406,chr1,25128531,25128704,+,1,NA,"intron (NM_013943: intron 2 of 5)","intron (NM_013943: intron 2 of 5)",56858,NM_013943,25932,Hs.440544,XM_005245838,ENSG00000169504,CLIC4,CLIC4L|H1|MTCLIC|huH1|p64H1,chloride intracellular channel 4,protein-coding
chr8-454,chr8,32568553,32568726,+,1,NA,"intron (NM_013959: intron 1 of 2)",MIRb|SINE|MIR,-10711,NM_001159996,3084,Hs.668810,XM_005273485,ENSG00000157168,NRG1,ARIA|GGF|GGF2|HGL|HRG|HRG1|HRGA|MST131|NDF|SMDF,neuregulin 1,protein-coding
chr8-2788,chr8,32225230,32225403,+,1,NA,"intron (NM_013962: intron 1 of 4)",L1MA4|LINE|L1,-72945,NR_047475,100874286,Hs.147060,NR_047475,,NRG1-IT3,RP11-468C1.1,NRG1 intronic transcript 3 (non-protein coding),ncRNA
chr8-1124,chr8,32269166,32269339,+,1,NA,"intron (NM_013962: intron 1 of 4)","intron (NM_013962: intron 1 of 4)",-29009,NR_047475,100874286,Hs.147060,NR_047475,,NRG1-IT3,RP11-468C1.1,NRG1 intronic transcript 3 (non-protein coding),ncRNA
chr8-1122,chr8,32075021,32075194,+,1,NA,"intron (NM_013962: intron 1 of 4)","intron (NM_013962: intron 1 of 4)",191374,NR_104156,100856811,Hs.97362,NR_104156,,NRG1-IT1,-,NRG1 intronic transcript 1 (non-protein coding),ncRNA
chr6-7388,chr6,162721574,162721747,+,1,NA,"intron (NM_013987: intron 2 of 10)",Tigger15a|DNA|TcMar-Tigger,-426503,NM_001080378,135138,Hs.25791,XM_005266824,ENSG00000112530,PACRG,GLUP|HAK005771|PARK2CRG|RP3-495O10.2,PARK2 co-regulated,protein-coding
chr6-7386,chr6,162633678,162633851,+,1,NA,"intron (NM_013987: intron 3 of 10)",Tigger3a|DNA|TcMar-Tigger,-514399,NM_001080378,135138,Hs.25791,XM_005266824,ENSG00000112530,PACRG,GLUP|HAK005771|PARK2CRG|RP3-495O10.2,PARK2 co-regulated,protein-coding
